Date,Strategy,Benchmark
2015-09-13,14552.10968429551,14814.763382119787
2015-09-14,14668.289837210368,14754.176099128474
2015-09-15,14621.50159792343,14943.491535959334
2015-09-16,14418.361085949895,15073.580814891007
2015-09-17,14461.805840382704,15034.976480560732
2015-09-18,14596.841634473423,14791.948639957827
2015-09-19,14596.841634473423,14791.948639957827
2015-09-20,14596.841634473423,14791.948639957827
2015-09-21,14610.097449057157,14859.485479428578
2015-09-22,14492.699969581243,14676.439947714221
2015-09-23,14668.49781708102,14646.373164685705
2015-09-24,14499.56536666497,14597.117640216286
2015-09-25,14420.014881507965,14590.318401058075
2015-09-26,14420.014881507965,14590.318401058075
2015-09-27,14420.014881507965,14590.318401058075
2015-09-28,14311.412283634478,14215.841975847863
2015-09-29,14243.080091276763,14233.368023540062
2015-09-30,14360.046550880199,14504.87743234171
2015-10-01,14490.270582483106,14533.508380728346
2015-10-02,14416.37311127788,14741.559753382395
2015-10-03,14416.37311127788,14741.559753382395
2015-10-04,14416.37311127788,14741.559753382395
2015-10-05,14261.961618187865,15011.180552105316
2015-10-06,14033.691395807838,14957.316890643515
2015-10-07,14015.251285241475,15077.508410311551
2015-10-08,13965.73460908903,15210.468445728591
2015-10-09,13916.5511035272,15221.4977288853
2015-10-10,13916.5511035272,15221.4977288853
2015-10-11,13916.5511035272,15221.4977288853
2015-10-12,13916.5511035272,15221.4977288853
2015-10-13,13822.841435056622,15117.604556014921
2015-10-14,13819.456054219812,15046.305786169825
2015-10-15,13811.937211610108,15269.785150500393
2015-10-16,13892.425918776533,15339.575312624254
2015-10-17,13892.425918776533,15339.575312624254
2015-10-18,13892.425918776533,15339.575312624254
2015-10-19,13881.568084522307,15343.725366310578
2015-10-20,13694.832853496537,15321.92054702665
2015-10-21,13786.457910639649,15232.664004307577
2015-10-22,13759.162220934888,15485.94622179101
2015-10-23,13942.835604129996,15656.761535782864
2015-10-24,13942.835604129996,15656.761535782864
2015-10-25,13942.835604129996,15656.761535782864
2015-10-26,14054.193709248424,15626.808574329025
2015-10-27,14170.220252040224,15586.895851890691
2015-10-28,13994.805919655366,15771.44521314464
2015-10-29,14097.15235298725,15764.351623991053
2015-10-30,13972.473580895572,15688.52703327134
2015-10-31,13972.473580895572,15688.52703327134
2015-11-01,13972.473580895572,15688.52703327134
2015-11-02,14027.92433394366,15874.809732263955
2015-11-03,14225.243031931393,15918.117281588267
2015-11-04,14114.072347144811,15861.68171069237
2015-11-05,14189.891354429848,15843.7239331223
2015-11-06,14033.34811689612,15838.216316736516
2015-11-07,14033.34811689612,15838.216316736516
2015-11-08,14033.34811689612,15838.216316736516
2015-11-09,14148.483688545486,15682.641810013833
2015-11-10,14221.286215467311,15706.331930318831
2015-11-11,14221.286215467311,15706.331930318831
2015-11-12,14214.799939551083,15486.594456739196
2015-11-13,14324.311481272638,15313.030555542138
2015-11-14,14324.311481272638,15313.030555542138
2015-11-15,14324.311481272638,15313.030555542138
2015-11-16,14383.367800891476,15541.244707864482
2015-11-17,14248.978130006453,15520.429087960656
2015-11-18,14253.706546571719,15771.277262593794
2015-11-19,14170.898870620247,15753.564397581553
2015-11-20,13945.694005042984,15813.588560908891
2015-11-21,13945.694005042984,15813.588560908891
2015-11-22,13945.694005042984,15813.588560908891
2015-11-23,13992.558285776822,15794.060981869055
2015-11-24,14099.338259777242,15813.36125963325
2015-11-25,14017.610916971313,15811.319244397464
2015-11-26,14017.610916971313,15811.319244397464
2015-11-27,13964.146177944132,15820.705122886951
2015-11-28,13964.146177944132,15820.705122886951
2015-11-29,13964.146177944132,15820.705122886951
2015-11-30,13933.094941206193,15747.281271545466
2015-12-01,13991.135163700257,15915.47125871774
2015-12-02,13832.777603822702,15740.469606891083
2015-12-03,13832.851713976084,15514.223542003754
2015-12-04,13691.718151481695,15832.663374733154
2015-12-05,13691.718151481695,15832.663374733154
2015-12-06,13691.718151481695,15832.663374733154
2015-12-07,13550.909780736023,15722.000929743997
2015-12-08,13422.49797127154,15619.966687610451
2015-12-09,13627.313324465853,15499.083998152537
2015-12-10,13676.156180249633,15533.978435927793
2015-12-11,13558.2510600832,15232.265576649766
2015-12-12,13558.2510600832,15232.265576649766
2015-12-13,13558.2510600832,15232.265576649766
2015-12-14,13488.41476884542,15304.703526489006
2015-12-15,13568.694919435882,15467.217454471944
2015-12-16,13472.41043042596,15691.72365180708
2015-12-17,13308.646450362341,15455.711952695881
2015-12-18,13218.578713983694,15180.643246817122
2015-12-19,13218.578713983694,15180.643246817122
2015-12-20,13218.578713983694,15180.643246817122
2015-12-21,13275.513392042589,15298.724398681708
2015-12-22,13296.227215181438,15433.6092097819
2015-12-23,13499.861315406064,15625.264818434396
2015-12-24,13480.145292875652,15600.285702898535
2015-12-25,13480.145292875652,15600.285702898535
2015-12-26,13480.145292875652,15600.285702898535
2015-12-27,13480.145292875652,15600.285702898535
2015-12-28,13367.77544205048,15566.299544477628
2015-12-29,13378.125057431442,15731.765619422435
2015-12-30,13371.3097906706,15618.225873811794
2015-12-31,13462.319771605331,15471.228485987662
2016-01-01,13462.319771605331,15471.228485987662
2016-01-02,13462.319771605331,15471.228485987662
2016-01-03,13462.319771605331,15471.228485987662
2016-01-04,13543.272693788103,15234.46096699857
2016-01-05,13588.808976804119,15265.116145452346
2016-01-06,13423.789869996823,15064.90808695363
2016-01-07,13421.832182374717,14707.863106603454
2016-01-08,13496.36765877301,14548.453785513284
2016-01-09,13496.36765877301,14548.453785513284
2016-01-10,13496.36765877301,14548.453785513284
2016-01-11,13541.71245206225,14560.867575226604
2016-01-12,13478.56068234133,14674.483089445193
2016-01-13,13498.649054007716,14308.127986250838
2016-01-14,13740.455097688522,14547.015131837123
2016-01-15,13720.343914176678,14232.812740944106
2016-01-16,13720.343914176678,14232.812740944106
2016-01-17,13720.343914176678,14232.812740944106
2016-01-18,13720.343914176678,14232.812740944106
2016-01-19,13696.556876521438,14240.382057761512
2016-01-20,13604.284945650066,14073.857094833445
2016-01-21,13718.400900626495,14146.976952420056
2016-01-22,13647.115532019008,14433.930002976838
2016-01-23,13647.115532019008,14433.930002976838
2016-01-24,13647.115532019008,14433.930002976838
2016-01-25,13561.605519157092,14208.212450967098
2016-01-26,13681.63123945634,14409.178181832958
2016-01-27,13706.601132284792,14252.644305201466
2016-01-28,13880.58779825334,14331.441148121647
2016-01-29,13854.030393932018,14686.290755203308
2016-01-30,13854.030393932018,14686.290755203308
2016-01-31,13854.030393932018,14686.290755203308
2016-02-01,13867.060133111558,14679.781253916086
2016-02-02,13775.580584879477,14404.636792693625
2016-02-03,13861.24292988727,14476.545299903122
2016-02-04,13907.143713905352,14498.64711354786
2016-02-05,14009.244156264846,14230.694035076545
2016-02-06,14009.244156264846,14230.694035076545
2016-02-07,14009.244156264846,14230.694035076545
2016-02-08,14068.797975274514,14029.27370246849
2016-02-09,13993.693783555726,14019.96359080352
2016-02-10,13985.061318086,14017.314514897647
2016-02-11,13973.967422668655,13844.885258244942
2016-02-12,14131.348710593005,14115.110407114744
2016-02-13,14131.348710593005,14115.110407114744
2016-02-14,14131.348710593005,14115.110407114744
2016-02-15,14131.348710593005,14115.110407114744
2016-02-16,14123.084835060057,14348.244801880855
2016-02-17,14116.662125009112,14584.710160747076
2016-02-18,14148.361032763945,14516.662077281077
2016-02-19,14029.600853720613,14516.28416584467
2016-02-20,14029.600853720613,14516.28416584467
2016-02-21,14029.600853720613,14516.28416584467
2016-02-22,14053.89769456085,14726.10539688577
2016-02-23,14060.77918354281,14542.701002161748
2016-02-24,14164.220122445073,14607.267497016031
2016-02-25,14202.010564305101,14773.034785570731
2016-02-26,14111.248322162384,14745.40751900923
2016-02-27,14111.248322162384,14745.40751900923
2016-02-28,14111.248322162384,14745.40751900923
2016-02-29,14084.71668498572,14625.660412538975
2016-03-01,13991.798253156912,14974.757258788502
2016-03-02,13954.44621319444,15036.068537713549
2016-03-03,13923.171780235973,15088.675842674436
2016-03-04,14021.26543468205,15138.557378451063
2016-03-05,14021.26543468205,15138.557378451063
2016-03-06,14021.26543468205,15138.557378451063
2016-03-07,14060.705322510774,15151.955216547121
2016-03-08,14150.402720662054,14981.645588350013
2016-03-09,14194.280367727792,15057.338754143566
2016-03-10,14180.340366878278,15059.684761754139
2016-03-11,14210.357647776726,15306.59582326548
2016-03-12,14210.357647776726,15306.59582326548
2016-03-13,14210.357647776726,15306.59582326548
2016-03-14,14205.889875365392,15287.294620741088
2016-03-15,14266.24682671635,15259.212751772062
2016-03-16,14414.490423560756,15344.669705269347
2016-03-17,14450.579411146875,15445.871434058918
2016-03-18,14377.445344713722,15513.920441777975
2016-03-19,14377.445344713722,15513.920441777975
2016-03-20,14377.445344713722,15513.920441777975
2016-03-21,14262.29223703186,15529.210608668562
2016-03-22,14358.154687011503,15515.585469358053
2016-03-23,14304.606693391797,15416.502453361347
2016-03-24,14272.09458124872,15410.673931962185
2016-03-25,14272.09458124872,15410.673931962185
2016-03-26,14272.09458124872,15410.673931962185
2016-03-27,14272.09458124872,15410.673931962185
2016-03-28,14268.693806437877,15419.076686528188
2016-03-29,14244.374612842217,15555.02131983462
2016-03-30,14287.833227877923,15622.69056707412
2016-03-31,14278.668272898336,15590.824040261177
2016-04-01,14251.237059497324,15689.528226717275
2016-04-02,14251.237059497324,15689.528226717275
2016-04-03,14251.237059497324,15689.528226717275
2016-04-04,14301.139324072592,15639.191160293114
2016-04-05,14290.974747413018,15480.539495041858
2016-04-06,14205.543876635289,15643.20310597021
2016-04-07,14289.750766479814,15455.863437575372
2016-04-08,14400.071470158196,15498.932405055939
2016-04-09,14400.071470158196,15498.932405055939
2016-04-10,14400.071470158196,15498.932405055939
2016-04-11,14445.971199225458,15456.4686516873
2016-04-12,14591.433522364303,15605.811116784116
2016-04-13,14489.295845053513,15762.495598392752
2016-04-14,14409.639715875186,15765.221365458843
2016-04-15,14445.429837791267,15749.703897857838
2016-04-16,14445.429837791267,15749.703897857838
2016-04-17,14445.429837791267,15749.703897857838
2016-04-18,14370.34194072071,15852.723111096206
2016-04-19,14515.018527567134,15901.620600912081
2016-04-20,14545.93909579422,15913.730398346375
2016-04-21,14508.106567607929,15831.074052986642
2016-04-22,14592.5067363559,15831.831723837273
2016-04-23,14592.5067363559,15831.831723837273
2016-04-24,14592.5067363559,15831.831723837273
2016-04-25,14578.339804488274,15803.143718072606
2016-04-26,14684.934344920202,15832.739080755659
2016-04-27,14789.244726991858,15858.852853290171
2016-04-28,14722.576007115096,15712.463457097654
2016-04-29,14768.228818512718,15632.909870346339
2016-04-30,14768.228818512718,15632.909870346339
2016-05-01,14768.228818512718,15632.909870346339
2016-05-02,14655.585821356462,15755.002056946485
2016-05-03,14686.499255752798,15618.301608984606
2016-05-04,14829.077299193466,15525.577479716221
2016-05-05,14876.458909162473,15521.866740630881
2016-05-06,14781.649390113053,15571.143065690678
2016-05-07,14781.649390113053,15571.143065690678
2016-05-08,14781.649390113053,15571.143065690678
2016-05-09,14807.831377372584,15582.875876211518
2016-05-10,14836.631563827572,15777.406935563455
2016-05-11,14841.847224622137,15626.55097200026
2016-05-12,14838.7149944968,15623.902819946179
2016-05-13,14786.41508784795,15491.438848718808
2016-05-14,14786.41508784795,15491.438848718808
2016-05-15,14786.41508784795,15491.438848718808
2016-05-16,14776.20712206329,15643.203084098985
2016-05-17,14808.569754004657,15495.98024289297
2016-05-18,14813.536960254487,15499.15968843931
2016-05-19,14874.780486231319,15441.708835428559
2016-05-20,14844.3592888991,15534.660268162768
2016-05-21,14844.3592888991,15534.660268162768
2016-05-22,14844.3592888991,15534.660268162768
2016-05-23,14836.086185594613,15502.263371094585
2016-05-24,14720.258599217197,15714.3557736414
2016-05-25,14662.05459381728,15823.95932571579
2016-05-26,14635.378606658336,15820.629270001844
2016-05-27,14675.225478785609,15888.450050078543
2016-05-28,14675.225478785609,15888.450050078543
2016-05-29,14675.225478785609,15888.450050078543
2016-05-30,14675.225478785609,15888.450050078543
2016-05-31,14658.733311070755,15872.47797911585
2016-06-01,14774.898017213713,15890.493913027967
2016-06-02,14819.717095489259,15935.379443182283
2016-06-03,14984.486856842641,15888.978571069547
2016-06-04,14984.486856842641,15888.978571069547
2016-06-05,14984.486856842641,15888.978571069547
2016-06-06,14936.080876504693,15966.791365523954
2016-06-07,15023.574350834167,15987.3796855731
2016-06-08,14981.060149301304,16040.290981803253
2016-06-09,15021.2182567547,16012.737634022758
2016-06-10,15058.240777784566,15865.817861519992
2016-06-11,15058.240777784566,15865.817861519992
2016-06-12,15058.240777784566,15865.817861519992
2016-06-13,14984.499755853652,15737.063719202546
2016-06-14,14904.27780619446,15708.754548186615
2016-06-15,14922.561904127011,15679.839241046833
2016-06-16,14804.659541183993,15728.96403313451
2016-06-17,14924.498299273064,15677.719612536715
2016-06-18,14924.498299273064,15677.719612536715
2016-06-19,14924.498299273064,15677.719612536715
2016-06-20,14913.68708185348,15768.778713127773
2016-06-21,15039.864169342967,15811.544612354544
2016-06-22,15027.397956929772,15785.430839231849
2016-06-23,14976.790563475071,15996.388568230948
2016-06-24,14896.197630545043,15421.801490137805
2016-06-25,14896.197630545043,15421.801490137805
2016-06-26,14896.197630545043,15421.801490137805
2016-06-27,14852.374656519627,15142.720813206122
2016-06-28,14910.74543279998,15411.80947574845
2016-06-29,14981.92873310803,15674.313771475365
2016-06-30,14826.018180885081,15886.936543129548
2016-07-01,14776.212634114503,15917.893865806136
2016-07-02,14776.212634114503,15917.893865806136
2016-07-03,14776.212634114503,15917.893865806136
2016-07-04,14776.212634114503,15917.893865806136
2016-07-05,14847.429718418089,15808.896445712642
2016-07-06,14790.408988997548,15893.520886619153
2016-07-07,14808.845401357083,15879.66844633267
2016-07-08,14802.307224101147,16121.886571148869
2016-07-09,14802.307224101147,16121.886571148869
2016-07-10,14802.307224101147,16121.886571148869
2016-07-11,14769.493859440961,16176.839883604527
2016-07-12,14922.467734571806,16290.228100633532
2016-07-13,14994.517732118733,16292.423498184546
