Date,Strategy,SP500,Nasdaq
2014-06-05,111289.00382639593,16236.50565218505,23670.426295259713
2014-06-06,111704.85953539338,16311.644278571019,23809.10201474679
2014-06-09,112056.48707245752,16326.957188203087,23890.866023293453
2014-06-10,112248.08692856088,16322.94101967806,23900.561596294396
2014-06-11,112404.91224093555,16265.206110982246,23867.11941040443
2014-06-12,112388.70775078563,16149.903791182267,23678.139173978092
2014-06-13,112986.2961409931,16200.526662438971,23749.87402093393
2014-06-16,113815.5060692319,16214.081725930444,23807.450220378687
2014-06-17,114848.02946721214,16249.307938759259,23896.31910887153
2014-06-18,115415.76982605548,16374.734416116604,24037.41872436363
2014-06-19,115241.50391993205,16395.65278853669,24018.08138492804
2014-06-20,116014.12615937692,16424.018227048564,24066.069618994854
2014-06-23,116127.3769246062,16421.842632643384,24069.596505532096
2014-06-24,115543.61998559335,16316.162973340366,23968.605459357852
2014-06-25,116021.06021316425,16396.071565985192,24130.640402087352
2014-06-26,116195.10972676544,16376.742504562793,24126.728814578943
2014-06-27,116142.4133053474,16408.036306029753,24230.751744511264
2014-06-30,116466.74295365089,16401.92830026272,24287.224947914216
2014-07-01,116909.98931898187,16511.45661376442,24565.2919822644
2014-07-02,117088.31318044035,16522.334577422967,24560.22359765749
2014-07-07,116602.06884587598,16457.50883661535,24371.88332893752
2014-07-08,116195.11291144307,16341.503119111576,24043.00431142516
2014-07-09,117125.24934138163,16417.397436347146,24193.947597526825
2014-07-10,116929.63879040729,16349.575990411397,24068.956834620483
2014-07-11,116797.6431211078,16373.62494879619,24174.568748417583
2014-07-14,117673.06356172613,16452.93147474105,24311.05743359052
2014-07-15,117174.82927365528,16421.142831277863,24179.495668371543
2014-07-16,117184.9532608273,16490.12944702212,24231.94607409159
2014-07-17,116675.14838092016,16294.984820259433,23889.65236681432
2014-07-18,117683.72204834023,16462.251792990373,24265.779524129564
2014-07-21,117986.62193212088,16424.055244011513,24224.99278370371
2014-07-22,118276.57041904751,16506.440767478987,24396.46712121232
2014-07-23,118183.37966092862,16535.400298924756,24493.26511721522
2014-07-24,117930.15603542447,16543.472146649343,24484.558136058113
2014-07-25,118368.05692214948,16463.25036136642,24361.099186276337
2014-07-28,118266.8442662455,16467.99432467318,24335.64122039037
2014-07-29,117905.15639878923,16393.430755103345,24323.541804177323
2014-07-30,118118.23098069243,16394.429323479388,24434.134100771993
2014-07-31,116946.26444726781,16066.553194003622,23924.253064776247
2014-08-01,116555.92368845966,16020.616968268116,23830.467887527495
2014-08-04,116430.01192139363,16135.789703574821,24001.559936960857
2014-08-05,116178.60735144987,15979.506999623865,23831.56127248481
2014-08-06,116313.43324710979,15979.75689345081,23843.66068869786
2014-08-07,116619.31136933033,15890.963456145915,23733.726026141652
2014-08-08,116939.7656350995,16074.208554790552,23930.43910724018
2014-08-11,117872.9796960949,16118.564130711628,24097.042664886827
2014-08-12,117885.47614444948,16092.183817456335,24030.904895212112
2014-08-13,119233.60712913795,16200.116671982034,24276.61981235769
2014-08-14,118989.01408804268,16270.519366615228,24379.932676056163
2014-08-15,119658.03099708355,16269.520798239184,24445.249740438263
2014-08-18,120611.08760031294,16408.327011924765,24682.752239211044
2014-08-19,120641.81694904262,16490.379349170813,24787.86959022384
